Üniversite Adı,Ders Adı,Ders Tanımı
istanbul teknik üniversitesi,bilgisayar mühendisliğine giriş,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
marmara üniversitesi,veritabanı sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
koç üniversitesi,bilgisayar mühendisliğine giriş,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
yıldız teknik üniversitesi,sistem programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
istanbul teknik üniversitesi,veri tabanı yönetim sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
yıldız teknik üniversitesi,web programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
koç üniversitesi,veri tabanı yönetim sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
boğaziçi üniversitesi,programlama dilleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
ankara üniversitesi,genel matematik,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
yıldız teknik üniversitesi,internet programcılığı,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
yıldız teknik üniversitesi,nesne tabanlı programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
orta doğu teknik üniversitesi,yapay zeka,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
yıldız teknik üniversitesi,bilgisayar mühendisliğine giriş,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
boğaziçi üniversitesi,nesne tabanlı yazılım geliştirme,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
yıldız teknik üniversitesi,dijital oyun programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,dijital oyun programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
sabancı üniversitesi,sistem programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,yapay zeka,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
hacettepe üniversitesi,veritabanı sistemleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
hacettepe üniversitesi,makine ğrenmesi,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
koç üniversitesi,veri bilimi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,genel matematik,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
marmara üniversitesi,bilgisayar ağları,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
dokuz eylül üniversitesi,nesne tabanlı programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
dokuz eylül üniversitesi,internet programcılığı,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul üniversitesi,nesne tabanlı yazılım geliştirme,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,sistem programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
koç üniversitesi,bilgisayar ağları,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
ankara üniversitesi,nesne tabanlı programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul teknik üniversitesi,bilgisayar mühendisliğine giriş,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
boğaziçi üniversitesi,makine ğrenmesi,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,internet programcılığı,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul üniversitesi,web programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
ankara üniversitesi,içerik yönetim sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
marmara üniversitesi,siber güvenlik,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
sabancı üniversitesi,programlama dilleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
istanbul teknik üniversitesi,programlama dilleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
hacettepe üniversitesi,dijital oyun programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
ankara üniversitesi,bilgisayar mühendisliğine giriş,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,mobil uygulama geliştirme,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
dokuz eylül üniversitesi,veri madenciliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
koç üniversitesi,dijital oyun programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
hacettepe üniversitesi,nesne tabanlı yazılım geliştirme,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
ankara üniversitesi,mobil uygulama geliştirme,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,siber güvenlik,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
boğaziçi üniversitesi,programlama dilleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
orta doğu teknik üniversitesi,veri madenciliği,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
dokuz eylül üniversitesi,web programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
orta doğu teknik üniversitesi,mobil uygulama geliştirme,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
dokuz eylül üniversitesi,bilgisayar mühendisliğine giriş,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
orta doğu teknik üniversitesi,web programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
dokuz eylül üniversitesi,genel matematik,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,sistem programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
istanbul üniversitesi,siber güvenlik,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,kriptografi ve veri güvenliği,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
ankara üniversitesi,kriptografi ve veri güvenliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul üniversitesi,kriptografi ve veri güvenliği,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
ankara üniversitesi,mobil uygulama geliştirme,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul teknik üniversitesi,internet programcılığı,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,nesne tabanlı yazılım geliştirme,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
hacettepe üniversitesi,nesne tabanlı yazılım geliştirme,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
yıldız teknik üniversitesi,veri madenciliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
yıldız teknik üniversitesi,bilgisayar ağları,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
koç üniversitesi,bilgisayar ağları,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
boğaziçi üniversitesi,dijital oyun programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
koç üniversitesi,sistem programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
yıldız teknik üniversitesi,veritabanı sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
koç üniversitesi,bilgisayar mühendisliğine giriş,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
ankara üniversitesi,siber güvenlik,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
yıldız teknik üniversitesi,sistem programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
sabancı üniversitesi,yapay zeka,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
hacettepe üniversitesi,veri madenciliği,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
ankara üniversitesi,dijital oyun programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
marmara üniversitesi,genel matematik,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul üniversitesi,kriptografi ve veri güvenliği,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
koç üniversitesi,içerik yönetim sistemleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
dokuz eylül üniversitesi,içerik yönetim sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul üniversitesi,içerik yönetim sistemleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
orta doğu teknik üniversitesi,genel matematik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
yıldız teknik üniversitesi,siber güvenlik,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
hacettepe üniversitesi,veri bilimi,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
orta doğu teknik üniversitesi,makine ğrenmesi,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
marmara üniversitesi,içerik yönetim sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul üniversitesi,sistem programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
sabancı üniversitesi,dijital oyun programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
dokuz eylül üniversitesi,veri bilimi,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
marmara üniversitesi,veri bilimi,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul teknik üniversitesi,veritabanı sistemleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
koç üniversitesi,içerik yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul teknik üniversitesi,yapay zeka,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,programlama dilleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
boğaziçi üniversitesi,veritabanı sistemleri,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
hacettepe üniversitesi,veri tabanı yönetim sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
yıldız teknik üniversitesi,bilgisayar ağları,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
ankara üniversitesi,programlama dilleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
orta doğu teknik üniversitesi,internet programcılığı,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
sabancı üniversitesi,programlama dilleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
koç üniversitesi,nesne tabanlı programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
marmara üniversitesi,yapay zeka,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
