Üniversite Adı,Ders Adı,Ders Tanımı
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Dokuz Eylül Üniversitesi,Kriptografi Veri Güvenliği,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Marmara Üniversitesi,Programlama Dilleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Marmara Üniversitesi,Veri Madenciliği,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Sabancı Üniversitesi,Genel Matematik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Yapay Zeka,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
İstanbul Üniversitesi,Veri Bilimi,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Sabancı Üniversitesi,Bilgisayar Ağları,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Hacettepe Üniversitesi,Kriptografi Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Ankara Üniversitesi,Genel Matematik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
İstanbul Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Marmara Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Ankara Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Marmara Üniversitesi,Veritabanı Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Yıldız Teknik Üniversitesi,Sistem Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Yıldız Teknik Üniversitesi,Web Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Boğaziçi Üniversitesi,Programlama Dilleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Hacettepe Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Ankara Üniversitesi,Genel Matematik,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Orta Doğu Teknik Üniversitesi,Yapay Zeka,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Boğaziçi Üniversitesi,Programlama Dilleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Ankara Üniversitesi,Dijital Oyun Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Sabancı Üniversitesi,Sistem Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Yapay Zeka,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Makine Ãğrenmesi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Ankara Üniversitesi,Genel Matematik,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Marmara Üniversitesi,Bilgisayar Ağları,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Sabancı Üniversitesi,Sistem Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Marmara Üniversitesi,Siber Güvenlik,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Sabancı Üniversitesi,Programlama Dilleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Teknik Üniversitesi,Programlama Dilleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,Dijital Oyun Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
İstanbul Teknik Üniversitesi,Siber Güvenlik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Boğaziçi Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Marmara Üniversitesi,Yapay Zeka,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Orta Doğu Teknik Üniversitesi,Web Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Dokuz Eylül Üniversitesi,Genel Matematik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Siber Güvenlik,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Üniversitesi,Kriptografi Veri Güvenliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Ankara Üniversitesi,Kriptografi Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Üniversitesi,Kriptografi Veri Güvenliği,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,Bilgisayar Ağları,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,Sistem Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Ankara Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Yıldız Teknik Üniversitesi,Sistem Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Sabancı Üniversitesi,Yapay Zeka,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Hacettepe Üniversitesi,Veri Madenciliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Ankara Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Marmara Üniversitesi,Genel Matematik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Üniversitesi,Kriptografi Veri Güvenliği,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Hacettepe Üniversitesi,Veri Bilimi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,Sistem Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Sabancı Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Dokuz Eylül Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Koç Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Marmara Üniversitesi,Veri Bilimi,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
