Üniversite Adı,Ders Adı,Ders Tanımı,stemmed_text
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Koç Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
İstanbul Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Marmara Üniversitesi,Veritabanı Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Koç Üniversitesi,Programlama Dilleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Ankara Üniversitesi,Sistem Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Yıldız Teknik Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Hacettepe Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Ankara Üniversitesi,Veritabanı Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Hacettepe Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Marmara Üniversitesi,Siber Güvenlik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Sabancı Üniversitesi,Web Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Koç Üniversitesi,Yapay Zeka,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Boğaziçi Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Hacettepe Üniversitesi,Web Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Yıldız Teknik Üniversitesi,İçerik Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Hacettepe Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Yıldız Teknik Üniversitesi,Genel Matematik,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Sabancı Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Hacettepe Üniversitesi,Veri Madenciliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Marmara Üniversitesi,Kriptografi ve Veri Güvenliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Koç Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Koç Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Sabancı Üniversitesi,Dijital Oyun Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Ankara Üniversitesi,Veri Madenciliği,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Koç Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Koç Üniversitesi,Programlama Dilleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Hacettepe Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Teknik Üniversitesi,Programlama Dilleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Marmara Üniversitesi,Kriptografi ve Veri Güvenliği,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
İstanbul Üniversitesi,Siber Güvenlik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
İstanbul Üniversitesi,Makine Ãğrenmesi,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Marmara Üniversitesi,Yapay Zeka,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Marmara Üniversitesi,Kriptografi ve Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
İstanbul Üniversitesi,Siber Güvenlik,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Ankara Üniversitesi,Veri Bilimi,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
İstanbul Üniversitesi,Genel Matematik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Sabancı Üniversitesi,Genel Matematik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
