Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",saban üniversite,sabancı üniversites,nesne taban programlamak,nesne tabanlı programla,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Boğaziçi üniversite,boğaziç üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",orta doğu teknik üniversite,or dok teknik üniversites,nesne taban programlamak,nesne tabanlı programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Marmara Üniversitesi,Dijital Oyun Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Marmara üniversite,marmar üniversites,dijital oymak programlamak,dijital oy programla,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",orta doğu teknik üniversite,or dok teknik üniversites,nesne taban programlamak,nesne tabanlı programla,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Dokuz Eylül Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",dokuz eylül üniversite,dok eylül üniversites,yapay zekâ,yapay zeka,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Ankara üniversite,ankar üniversites,maki,mak,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",orta doğu teknik üniversite,or dok teknik üniversites,veri bili,ver bil,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",koçmak üniversite,koç üniversites,Unk Yönet sistem,i̇çerik yönet sistem,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Ankara Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Ankara üniversite,ankar üniversites,maki,mak,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",orta doğu teknik üniversite,or dok teknik üniversites,sistem programlamak,siste programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Boğaziçi üniversite,boğaziç üniversites,dijital oymak programlamak,dijital oy programla,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",dokuz eylül üniversite,dok eylül üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",dokuz eylül üniversite,dok eylül üniversites,programlamak dil,programla dil,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Marmara üniversite,marmar üniversites,veri taba Yönet sistem,ver taba yönet sistem,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Sabancı Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",saban üniversite,sabancı üniversites,Web programlamak,web programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Ankara üniversite,ankar üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Marmara Üniversitesi,Sistem Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Marmara üniversite,marmar üniversites,sistem programlamak,siste programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Sabancı Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",saban üniversite,sabancı üniversites,maki,mak,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Hacettepe üniversite,hacettep üniversites,nesne taban programlamak,nesne tabanlı programla,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Koç Üniversitesi,Veri Madenciliği,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",koçmak üniversite,koç üniversites,veri maden,ver madencilik,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,siber Güvenlik,siber güvenlik,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",saban üniversite,sabancı üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Boğaziçi üniversite,boğaziç üniversites,veri taba Yönet sistem,ver taba yönet sistem,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Unk üniversite,i̇stanbul üniversites,veri taba Yönet sistem,ver taba yönet sistem,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Marmara Üniversitesi,Genel Matematik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Marmara üniversite,marmar üniversites,genel matematik,genel matematik,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Hacettepe üniversite,hacettep üniversites,dijital oymak programlamak,dijital oy programla,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Sabancı Üniversitesi,Sistem Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,saban üniversite,sabancı üniversites,sistem programlamak,siste programla,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Ankara üniversite,ankar üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Orta Doğu Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",orta doğu teknik üniversite,or dok teknik üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Sabancı Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",saban üniversite,sabancı üniversites,yapay zekâ,yapay zeka,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,koçmak üniversite,koç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",orta doğu teknik üniversite,or dok teknik üniversites,veri maden,ver madencilik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Hacettepe üniversite,hacettep üniversites,dijital oymak programlamak,dijital oy programla,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Sabancı Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",saban üniversite,sabancı üniversites,veri maden,ver madencilik,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Boğaziçi üniversite,boğaziç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk teknik üniversite,i̇stanbul teknik üniversites,veritabanı sistem,veritaba sistem,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Hacettepe Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Hacettepe üniversite,hacettep üniversites,Web programlamak,web programla,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Unk teknik üniversite,i̇stanbul teknik üniversites,dijital oymak programlamak,dijital oy programla,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Hacettepe üniversite,hacettep üniversites,maki,mak,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",saban üniversite,sabancı üniversites,Unk Yönet sistem,i̇çerik yönet sistem,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Marmara Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Marmara üniversite,marmar üniversites,dijital oymak programlamak,dijital oy programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",orta doğu teknik üniversite,or dok teknik üniversites,veri bili,ver bil,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Marmara Üniversitesi,Veri Madenciliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Marmara üniversite,marmar üniversites,veri maden,ver madencilik,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Marmara Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Marmara üniversite,marmar üniversites,programlamak dil,programla dil,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
